子任务ID	父任务ID	序列	子任务组	禁止进入联机	显示状态	[领取条件]组合	[领取条件]1类型	[领取条件]1参数1	[领取条件]1参数2	[领取条件]1参数3	[领取条件]1参数4	[领取条件]1参数5	[领取条件]2类型	[领取条件]2参数1	[领取条件]2参数2	[领取条件]2参数3	[领取条件]2参数4	[领取条件]2参数5	[领取条件]3类型	[领取条件]3参数1	[领取条件]3参数2	[领取条件]3参数3	[领取条件]3参数4	[领取条件]3参数5	[领取条件]4类型	[领取条件]4参数1	[领取条件]4参数2	[领取条件]4参数3	[领取条件]4参数4	[领取条件]4参数5	[领取条件]5类型	[领取条件]5参数1	[领取条件]5参数2	[领取条件]5参数3	[领取条件]5参数4	[领取条件]5参数5	[领取条件]6类型	[领取条件]6参数1	[领取条件]6参数2	[领取条件]6参数3	[领取条件]6参数4	[领取条件]6参数5	[领取条件]7类型	[领取条件]7参数1	[领取条件]7参数2	[领取条件]7参数3	[领取条件]7参数4	[领取条件]7参数5	[领取条件]8类型	[领取条件]8参数1	[领取条件]8参数2	[领取条件]8参数3	[领取条件]8参数4	[领取条件]8参数5	[领取条件]9类型	[领取条件]9参数1	[领取条件]9参数2	[领取条件]9参数3	[领取条件]9参数4	[领取条件]9参数5	[领取条件]10类型	[领取条件]10参数1	[领取条件]10参数2	[领取条件]10参数3	[领取条件]10参数4	[领取条件]10参数5	[完成条件]组合	[完成条件]1类型	[完成条件]1参数1	[完成条件]1参数2	[完成条件]1复杂参数	[完成条件]1次数	[完成条件]2类型	[完成条件]2参数1	[完成条件]2参数2	[完成条件]2复杂参数	[完成条件]2次数	[完成条件]3类型	[完成条件]3参数1	[完成条件]3参数2	[完成条件]3复杂参数	[完成条件]3次数	[完成条件]4类型	[完成条件]4参数1	[完成条件]4参数2	[完成条件]4复杂参数	[完成条件]4次数	[完成条件]5类型	[完成条件]5参数1	[完成条件]5参数2	[完成条件]5复杂参数	[完成条件]5次数	[完成条件]6类型	[完成条件]6参数1	[完成条件]6参数2	[完成条件]6复杂参数	[完成条件]6次数	[失败条件]组合	[失败条件]1类型	[失败条件]1参数1	[失败条件]1参数2	[失败条件]1复杂参数	[失败条件]1次数	[失败条件]2类型	[失败条件]2参数1	[失败条件]2参数2	[失败条件]2复杂参数	[失败条件]2次数	[失败条件]3类型	[失败条件]3参数1	[失败条件]3参数2	[失败条件]3复杂参数	[失败条件]3次数	[失败条件]4类型	[失败条件]4参数1	[失败条件]4参数2	[失败条件]4复杂参数	[失败条件]4次数	[失败条件]5类型	[失败条件]5参数1	[失败条件]5参数2	[失败条件]5复杂参数	[失败条件]5次数	[失败条件]6类型	[失败条件]6参数1	[失败条件]6参数2	[失败条件]6复杂参数	[失败条件]6次数	[任务指引]类型	[任务指引]自动开启或关闭	[任务指引]参数1	[任务指引]参数2	[任务指引]参数3	[任务指引]参数4	[任务指引]参数5	[任务指引]场景ID	[任务指引]样式	[任务指引]显示层级	场景内指引	完成父任务	失败父任务	是存档点	[任务道具]ID	[任务道具]数量	[执行]1类型	[执行]1参数1	[执行]1参数2	[执行]1参数3	[执行]1参数4	[执行]1参数5	[执行]2类型	[执行]2参数1	[执行]2参数2	[执行]2参数3	[执行]2参数4	[执行]2参数5	[执行]3类型	[执行]3参数1	[执行]3参数2	[执行]3参数3	[执行]3参数4	[执行]3参数5	[执行]4类型	[执行]4参数1	[执行]4参数2	[执行]4参数3	[执行]4参数4	[执行]4参数5	[执行]5类型	[执行]5参数1	[执行]5参数2	[执行]5参数3	[执行]5参数4	[执行]5参数5	[失败执行]1类型	[失败执行]1参数1	[失败执行]1参数2	[失败执行]1参数3	[失败执行]1参数4	[失败执行]1参数5	[失败执行]2类型	[失败执行]2参数1	[失败执行]2参数2	[失败执行]2参数3	[失败执行]2参数4	[失败执行]2参数5	[失败执行]3类型	[失败执行]3参数1	[失败执行]3参数2	[失败执行]3参数3	[失败执行]3参数4	[失败执行]3参数5	[失败执行]4类型	[失败执行]4参数1	[失败执行]4参数2	[失败执行]4参数3	[失败执行]4参数4	[失败执行]4参数5	[失败执行]5类型	[失败执行]5参数1	[失败执行]5参数2	[失败执行]5参数3	[失败执行]5参数4	[失败执行]5参数5	[开始执行]1类型	[开始执行]1参数1	[开始执行]1参数2	[开始执行]1参数3	[开始执行]1参数4	[开始执行]1参数5	[开始执行]2类型	[开始执行]2参数1	[开始执行]2参数2	[开始执行]2参数3	[开始执行]2参数4	[开始执行]2参数5	[开始执行]3类型	[开始执行]3参数1	[开始执行]3参数2	[开始执行]3参数3	[开始执行]3参数4	[开始执行]3参数5	[开始执行]4类型	[开始执行]4参数1	[开始执行]4参数2	[开始执行]4参数3	[开始执行]4参数4	[开始执行]4参数5	[开始执行]5类型	[开始执行]5参数1	[开始执行]5参数2	[开始执行]5参数3	[开始执行]5参数4	[开始执行]5参数5	独占NPC	共享NPC	独占优先级	试用角色列表	加载技能组	独占情境ID	CoopPointID	刷新是否限定单机
80001	800	1		1			1	99902	3																																																											2	80001																																																												2	1	96					3	1	2				1			15	3	133103559																																																										19	3	133103559,2																														1100					
80002	800	2		1			1	80001	3																																																											20	2200901		8000201	1																											20			8000202	1																																	3	1	2																																					14	80001																																																													1100					
80003	800	3		1			1	80002	3																																																																																																																															3	1	2		1		1																																																																																															1100					
80004	800	4					1	99902	3																																																											148	1																																																												1		DUMMY_POS 500500003					5						1																																																																																																				1
80005	800	5					1	99902	3																																																											148	2																																																												1		DUMMY_POS 500500003					5						1																																																																																																				1
80006	800	6				1	1	80004	3				77	1																																																						4	80006																																																												1		DUMMY_POS 500500003					5						1			64	2																																																																																																1
80007	800	7				1	1	80005	3				77	2																																																						4	80007																																																												1		DUMMY_POS 500500003					5						1			64	1																																																																																																1
80008	800	8					1	99902	3																																																											149	3																																																																									1																																																																																																				1
80009	800	9					1	99902	3																																																											150	3	50	Q12001FailTrigger																																																										1		Q12001FailTrigger	50				3						1																																																																																																				1
80010	800	10					1	99902	3																																																											4	80010																																																																									1																																																															65	5																																				1
80011	800	11					1	99902	3																																																											4	80011																																																																									1																																																															66	5																																				1
80012	800	12					1	99902	3																																																											4	80012																																																												2		20476					5						1																																																																																																				1
80013	800	13					1	99902	3																																																											109	1	3																																																											2		1005					3						1																																																																																																				1
80014	800	14					1	99902	3																																																											4	80014																																																												2		1005					3						1																																																																																																				1
80015	800	15					1	80014	3																																																											4	80015																																																																									1																																																																																																				1
80016	800	16					1	99902	3																																																											4	80016																																																												2		1005					3						1																																																																																																				1
80017	800	17					1	99902	3																																																											10	5																																																												1		Q7228001_N1038					3						1																																																																																																				1
80018	800	18					1	80017	3																																																											4	80018																																																												1		Q7228001_N1038					3						1																																																																																													1038		1100					1
80019	800	19					1	99902	3																																																											4	80019																																																												2		1005					3						1																																																																																																				1
80020	800	20					1	99902	3																																																											147																																																																										1																																																																																																				1
80021	800	21					1	99902	3																																																											2	80022																																																												2		1001					1009						1																																																																																																				1
80022	800	22					1	80021	3																																																											2	80023																																																												2		1001					3						1																																																																																																				1
80023	800	23					1	99902	3																																																											2	80022																																																												2		1001					3						1																																																																																																				1
80024	800	24					1	80023	3																																																											2	80023																																																												2		1001					5						1																																																																																																				1
101901	1019	3					1	101907	3																																																											4	101901																																																												1		guide_Q101901					6	4	2	1			1																																																																																													1030,1044,1049		1000					1
101902	1019	4					1	101901	3																																																											2	101902																																																												2		1030					6	2	2							56	6	150				57	6	146																																																																																		1030,1044,1049		1000					1
101903	1019	5					1	101902	3																																																											2	101903																																																												2		1030					6	2	2				1			47	166004001	1				56	6	151				57	6	150				2	6	19				2	6	20																																		46	6	166004001																												1030,1048,1044,1049		1000					1
101904	1019	6					1	101903	3																																																											2	101904																																																												2		1030					20130	2	2				1																																																																																													1030		1000					1
101905	1019	7					1	101904	3																																																											2	101905																																																												2		1048					20130	2	2		1		1																																																																																													1030,1048		1000					1
101906	1019	1			1		1	102510	3																																																											136	101901	2																																																																		6	4	2	1			1																																																																																																				1
101907	1019	2				7	30	2013001	1				30	2013012	1				55	2013001					1	102510	3				1	1100811	3				1	1202618	3				1	1204209	3				1	7104520	3																																																																																																																																																																																															1
102701	1027	1			1	1	1	102807	3				30	2013015	1																																																					136	102901	2																																																																						1		1																																																																																																				1
102801	1028	1					1	101905	3																																																											9	1131	1																																																											1		Q102801_guide					20130	2	2	1			1			19	20130	220130006,2																																																										2	20130	1				19	20130	220130006,1																													1
102802	1028	7	102801				1	102804	3																																																											2	102807																																																												2		1048					20130	2	2																																																																																																	1030,1048,1049,1044,12544		1000					1
102803	1028	3					1	102808	3																																																											149	20127																																																																				4	2	1			1			17	20130	1																																																																																															1
102804	1028	4					1	102803	3																																																											2	102804																																																												2		1030					20130	2	2				1			19	20130	220130041,2																																																										19	20130	220130005,2				19	20130	220130009,2				19	20130	220130041,1																1030		1000					1
102805	1028	6	102801				1	102804	3																																																											2	102806																																																												2		1030					20130	2	2				1																																																																																													1030,1048,1049,1044,12544		1000					1
102806	1028	8	102801				1	102804	3																																																											2	102808																																																												2		1044					20130	2	2																																																																																																	1030,1048,1049,1044,12544		1000					1
102807	1028	9			1		1	102804	3																																																										1	2	102808				2	102806				2	102807																																																									20130		2	1	1																																																																																																	1000					1
102808	1028	2					1	102801	3																																																											20			102808	1																											149	20127																																										1																																	14	102801																																																																		1
102809	1028	5			1		1	102803	3																																																											4	102809																																																																												19	20130	220130041,2																																																																																															1
102901	1029	1				4	1	102807	3				30	2013003	1				30	2013013	1				55	2013001																																										18	1		0,24																												149	20130																																				20130	2	2	1			1																																																															19	20130	220130002,1																												1030,1044,1048,1049		1000					1
102902	1029	5					1	102935	3																																																											9	1132	3																																																											1		Q101902_guide					20130	4	2				1			19	20130	220130007,2																																																										2	20130	3				19	20130	220130007,1																						1049		1000					1
102903	1029	6					1	102902	3																																																											20			102903	1																											149	20128																																				20128	4	2	1			1																																	14	102902																																																																		1
